Index,N.Processes,N.Threads,N.Characters,Read File,Parse Header,Parse Huffman Tree,Parse Block Lengths,Calculate Block Range,Decode Single Text,Merge Decoded Texts,
39,3,6,0,0.00243473053,8.487701416e-05,5.960464478e-05,0.0001728534698,1.573562622e-05,0.01415514946,0.1138923168,
40,3,7,0,0.002179145813,0.0001022815704,7.390975952e-05,6.079673767e-05,6.437301636e-06,0.01405858994,0.04115843773,
41,3,8,0,0.002848863602,0.0001041889191,6.604194641e-05,0.0001199245453,5.960464478e-06,0.01406860352,0.006371021271,
42,3,9,0,0.002063512802,8.654594421e-05,6.055831909e-05,0.000171661377,1.502037048e-05,0.01466727257,0.06481528282,
43,3,10,0,0.002124071121,4.172325134e-05,2.264976501e-05,8.058547974e-05,5.722045898e-06,0.01408672333,0.008721113205,
44,3,11,0,0.002718687057,9.369850159e-05,6.127357483e-05,0.0001261234283,5.483627319e-06,0.01406908035,0.07176208496,
45,3,12,0,0.002343893051,8.869171143e-05,6.580352783e-05,0.0001230239868,1.525878906e-05,0.01411128044,0.09119415283,
46,3,13,0,0.002068042755,9.155273438e-05,6.747245789e-05,0.0001754760742,1.47819519e-05,0.01452350616,0.006422758102,
47,3,14,0,0.002095222473,5.984306335e-05,2.312660217e-05,5.149841309e-05,1.192092896e-05,0.01412296295,0.006903171539,
48,3,15,0,0.002455472946,9.965896606e-05,2.288818359e-05,5.483627319e-05,5.483627319e-06,0.01406931877,0.1311268806,
49,3,16,0,0.002133607864,8.916854858e-05,6.794929504e-05,0.0001525878906,5.722045898e-06,0.01414656639,0.05168032646,
50,4,1,0,0.002590656281,0.0001072883606,6.175041199e-05,0.0001537799835,1.668930054e-05,0.01092505455,0.09642314911,
51,4,2,0,0.003116607666,9.155273438e-05,6.031990051e-05,0.0001270771027,1.502037048e-05,0.01082515717,0.06495738029,
52,4,3,0,0.001995325089,8.916854858e-05,5.984306335e-05,7.081031799e-05,5.483627319e-06,0.010607481,0.1252040863,
53,4,4,0,0.003077507019,9.13143158e-05,6.079673767e-05,0.0001254081726,6.198883057e-06,0.01055026054,0.1535644531,
54,4,5,0,0.002144575119,7.939338684e-05,5.93662262e-05,0.000168800354,1.454353333e-05,0.0112016201,0.09741330147,
55,4,6,0,0.002392530441,8.55922699e-05,5.984306335e-05,0.0001788139343,1.525878906e-05,0.01096177101,0.08477473259,
56,4,7,0,0.002642631531,8.797645569e-05,6.103515625e-05,0.0001249313354,1.525878906e-05,0.01093006134,0.07739377022,
57,4,8,0,0.002081871033,8.726119995e-05,5.984306335e-05,0.0001723766327,1.430511475e-05,0.01063227654,0.1534109116,
58,4,9,0,0.00329875946,0.0001022815704,6.175041199e-05,0.0001909732819,3.457069397e-05,0.01075959206,0.1327702999,
59,4,10,0,0.003140926361,0.0001089572906,6.437301636e-05,0.0001859664917,1.525878906e-05,0.01080799103,0.006492614746,
60,4,11,0,0.002943992615,9.298324585e-05,6.103515625e-05,0.0001270771027,1.502037048e-05,0.01120114326,0.07646203041,
